Title,Course Start,Course End,Application Start Date,Application End Date,Capacity,Fee,Status,Age Eligibility,Location,Institution,Detail
취업을 위한 스마트폰 교육,2023-08-17,2023-08-17,2023-08-03,2023-08-17,10,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=296
2023년 직업교육_일반경비원 신임교육 9기,2023-09-19,2023-09-22,2023-08-22,2023-09-18,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=297
취업준비교육 9기,2023-09-12,2023-09-12,2023-08-23,2023-09-12,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=298
소독방역원 교육 2기,2023-09-20,2023-09-21,2023-08-28,2023-09-19,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=299
취업을 위한 스마트폰 교육 2기,2023-09-22,2023-09-22,2023-09-06,2023-09-22,10,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=300
2023년 직업교육_일반경비원 신임교육 10기,2023-10-24,2023-10-27,2023-09-19,2023-10-23,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=304
취업준비교육 10기,2023-10-17,2023-10-17,2023-09-19,2023-10-17,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=305
취업설계교육 2기,2023-10-25,2023-10-27,2023-10-06,2023-10-25,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=306
공공일자리 훑어보기 2기,2023-11-07,2023-11-07,2023-10-24,2023-11-06,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=307
취업준비교육 11기,2023-11-14,2023-11-14,2023-10-24,2023-11-14,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=308
면접을 부르는 입사지원서류 완성하기 2기,2023-11-10,2023-11-10,2023-10-24,2023-11-10,10,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=309
2023년 직업교육_일반경비원 신임교육 11기 (주차원 교육 포함),2023-11-20,2023-11-23,2023-10-25,2023-11-17,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=310
2023년 직업교육_일반경비원 신임교육 12기,2023-12-05,2023-12-08,2023-11-08,2023-12-04,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=311
2024년 직업교육_일반경비원 신임교육 1기,2024-01-23,2024-01-26,2024-01-03,2024-01-22,40,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=312
취업준비교육 1기 ,2024-01-30,2024-01-30,2024-01-05,2024-01-30,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=313
취업준비교육 2기,2024-02-20,2024-02-20,2024-01-29,2024-02-20,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=336
2024년 직업교육_일반경비원 신임교육 2기,2024-02-20,2024-02-23,2024-02-01,2024-02-19,40,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=337
취업준비교육 3기,2024-03-12,2024-03-12,2024-02-14,2024-03-12,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=338
민간일자리 훑어보기,2024-03-14,2024-03-14,2024-02-26,2024-03-13,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=339
2024년 직업교육_일반경비원 신임교육 3기,2024-03-19,2024-03-22,2024-03-04,2024-03-18,30,50000,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=341
취업준비교육 4기,2024-04-16,2024-04-16,2024-03-12,2024-04-16,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=342
건설업 기초안전보건교육,2024-04-19,2024-04-19,2024-03-25,2024-04-18,20,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=343
취업을 위한 스마트폰 교육,2024-04-18,2024-04-18,2024-03-26,2024-04-17,10,무료,마감,,서울시어르신취업지원센터 3층/한국고용복지센터,서울시어르신취업지원센터,https://www.goldenjob.or.kr/edu/apply_view.asp?program_idx=344
